doctor_name,Speciality,Ratings,Location,timing,Availability
Dr. Tanvi Gupta,Neurosurgeon,5,Pune,18:30 - 20:30,"Monday,Tuesday"
Dr. Aman Singh,Pediatric Dentist,3.3,Ahmedabad,19:00 - 21:30,"Tuesday, Wednesday"
Dr. Neha Khurana,Hematologist,4.2,Surat,19:30 - 21:30,"Monday,Tuesday"
Dr. Karan Mehra,Neurosurgeon,4.5,Jaipur,20:00 - 22:30,"Tuesday, Wednesday"
Dr. Pooja Verma,Laryngologist,4.9,Amritsar,20:30 - 22:30,"Wednesday, Thursday"
Dr. Vikram Sharma,Optometrist,3.2,Navi Mumbai,21:00 - 23:00,"Friday, Tuesday"
Dr. Riya Singh,Hand Surgeon,4.3,Allahabad,21:30 - 23:00,"Thursday, Friday"
Dr. Aditya Khanna,Allergist,3.5,Ranchi,22:00 - 24:00,"Tuesday, Thursday"
Dr. Nandini Verma,Pediatric Otolaryngologist,3.9,Howrah,22:30 - 24:00,"Monday, Wednesday"
Dr. Arjun Choudhary,Hand Surgeon,3.3,Jabalpur,23:00 - 24:00,"Tuesday, Thursday"
Dr. Swati Khurana,Midwife,4.3,Gwalior,11:45 - 15:45,"Wednesday, Friday"
Dr. Ankit Mehra,Pediatrician,4.4,Vijayawada,17:20 - 20:40,"Monday,Tuesday"
Dr. Priya Verma,Psychotherapist,4.4,Jodhpur,21:15 - 24:00,"Tuesday, Wednesday"
Dr. Rohit Kumar,Laryngologist,4.6,Raipur,09:00 - 10:45,"Wednesday, Thursday"
Dr. Meera Khanna,OB-GYN,4.7,Kota,09:15 - 11:45,"Thursday, Friday"
Dr. Sahil Verma,Allergist,3.7,Guwahati,09:45 - 12:15,"Wednesday, Friday"
Dr. Sneha Singh,Oncologist,5,Chandigarh,10:15 - 12:45,"Monday,Tuesday"
Dr. Anuj Sharma,Refractive Surgeon,3.9,Solapur,10:30 - 13:00,"Tuesday, Wednesday"
Dr. Ritu Khanna,Hematologist,3.3,Hubballi-Dharwad,10:45 - 13:45,"Wednesday, Thursday"
Dr. Aarti Singh,Prosthodontist,3.6,Bareilly,11:15 - 14:15,"Friday, Tuesday"
Dr. Vivek Khurana,Urological Surgeon,4.6,Moradabad,11:45 - 14:15,"Thursday, Friday"
Dr. Kavita Sharma,Neurosurgeon,3.3,Mysore,12:15 - 15:45,"Tuesday, Thursday"
Dr. Rahul Mehta,Plastic Surgeon,4.4,Gurgaon,12:45 - 15:15,"Wednesday, Friday"
Dr. Nisha Choudhary,Midwife,3.7,Aligarh,13:15 - 16:45,"Monday,Tuesday"
Dr. Karan Kapoor,Pediatric Orthopedic Surgeon,3.3,Jalandhar,13:45 - 16:45,"Tuesday, Wednesday"
Dr. Priya Sharma,Diagnostic Radiologist,3,Tiruchirappalli,14:15 - 17:15,"Monday, Wednesday"
Dr. Rohit Patel,Pediatric Orthopedic Surgeon,3.1,Bhubaneswar,14:45 - 17:45,"Tuesday, Thursday"
Dr. Sneha Verma,Adult Psychiatric & Mental Health Nurse Practitioner,3.8,Salem,15:15 - 17:45,"Monday,Tuesday"
Dr. Vikram Singhania,Refractive Surgeon,3.1,Jamnagar,15:45 - 18:15,"Monday,Tuesday"
Dr. Anjali Reddy,Midwife,4,Ujjain,16:15 - 19:45,"Tuesday, Wednesday"
Dr. Arjun Gupta,OB-GYN,4.9,Siliguri,16:45 - 19:15,"Wednesday, Thursday"
Dr. Preeti Khanna,Psychotherapist,3.9,Jhansi,17:15 - 20:15,"Friday, Tuesday"
Dr. Rajesh Sharma,Allergist,3.9,Durg-Bhilai Nagar,15:00 - 17:30,"Monday,Tuesday"
Dr. Neha Desai,Colorectal Surgeon,4.1,Tirupur,15:30 - 17:30,"Tuesday, Wednesday"
Dr. Siddharth Patel,Hand Surgeon,3.5,Guntur,16:00 - 18:30,"Monday, Thursday"
Dr. Aarti Gupta,Pediatric Dentist,4.1,Gorakhpur,16:30 - 18:30,"Tuesday, Thursday"
Dr. Aniket Malhotra,Pediatric Orthopedic Surgeon,4.6,Saharanpur,17:00 - 19:30,"Friday, Tuesday"
Dr. Shreya Joshi,Neurosurgeon,3.7,Bhatpara,17:30 - 19:30,"Thursday, Friday"
Dr. Aditya Singh,Neurosurgeon,4,Bhilwara,18:00 - 20:30,"Wednesday, Friday"
Dr. Tanvi Mehra,Pediatrician,3.6,Kakinada,18:30 - 20:30,"Monday,Tuesday"
Dr. Rohan Bansal,Oncologist,4.9,Davanagere,19:00 - 21:30,"Tuesday, Wednesday"
Dr. Meera Chawla,Oculoplastic Surgeon,4.6,Kozhikode,19:30 - 21:30,"Wednesday, Thursday"
Dr. Vivek Khanna,Optometrist,3.9,Maheshtala,20:00 - 22:30,"Tuesday, Wednesday"
Dr. Ritu Kapoor,Laryngologist,4.2,Rajpur Sonarpur,20:30 - 22:30,"Wednesday, Thursday"
Dr. Akash Verma,Oncologist,3.5,Rajahmundry,21:00 - 23:00,"Monday, Wednesday"
Dr. Nandini Sharma,Clinical Neurophysiologist,4.7,Bokaro Steel City,21:30 - 23:00,"Tuesday, Thursday"
Dr. Anuj Mehra,Spine Specialist,4.8,South Dumdum,22:00 - 24:00,"Monday, Thursday"
Dr. Kritika Choudhary,Hand Surgeon,4.3,Bellary,22:30 - 24:00,"Tuesday, Thursday"
Dr. Mohan Kumar,Hand Surgeon,3.9,Patiala,23:00 - 24:00,"Monday, Friday"
Dr. Anushka Singh,Oncologist,3.9,Gopalpur,09:00 - 11:30,"Monday, Wednesday"
Dr. Sameer Khurana,Oculoplastic Surgeon,3.2,Bangalore,14:30 - 16:30,"Tuesday, Thursday"
Dr. Riya Gupta,Diagnostic Radiologist,4.9,Kolkata,15:00 - 17:30,"Wednesday, Friday"
Dr. Vikrant Mehra,Hand Surgeon,3,Chennai,15:30 - 17:30,"Monday,Tuesday"
Dr. Sneha Kumar,Neurosurgeon,3.7,Hyderabad,16:00 - 18:30,"Tuesday, Wednesday"
Dr. Arjun Khanna,Diagnostic Radiologist,3.9,Pune,16:30 - 18:30,"Wednesday, Friday"
Dr. Natasha Chatterjee,Pediatric Orthopedic Surgeon,4.9,Ahmedabad,17:00 - 19:30,"Monday,Tuesday"
Dr. Ravi Sharma,Hand Surgeon,4.9,Surat,17:30 - 19:30,"Tuesday, Wednesday"
Dr. Aditi Patel,Psychotherapist,4.3,Jaipur,18:00 - 20:30,"Wednesday, Thursday"
Dr. Deepak Singh,Prosthodontist,3.1,Lucknow,18:30 - 20:30,"Monday, Thursday"
Dr. Shruti Mehra,OB-GYN,4.9,Kanpur,11:45 - 13:45,"Tuesday, Thursday"
Dr. Karan Chawla,Adult Psychiatric & Mental Health Nurse Practitioner,3,Nagpur,12:15 - 14:45,"Friday, Tuesday"
Dr. Naina Patel,Neurosurgeon,3.3,Visakhapatnam,12:45 - 14:15,"Thursday, Friday"
Dr. Rajat Kapoor,Clinical Neurophysiologist,3.1,Indore,13:15 - 15:45,"Tuesday, Thursday"
Dr. Ishita Singh,OB-GYN,3.8,Nagpur,13:45 - 15:15,"Wednesday, Friday"
Dr. Akshay Gupta,Pediatric Otolaryngologist,3.1,Visakhapatnam,14:15 - 16:45,"Monday,Tuesday"
Dr. Ayesha Reddy,Diagnostic Radiologist,3.4,Indore,14:45 - 16:45,"Tuesday, Wednesday"
Dr. Rohit Verma,Allergist,3.9,Thane,15:15 - 17:15,"Monday, Wednesday"
Dr. Swati Bansal,OB-GYN,3.4,Bhopal,15:45 - 18:15,"Tuesday, Thursday"
Dr. Vikas Singh,Psychotherapist,4.3,Ujjain,16:15 - 18:45,"Monday, Thursday"
Dr. Anjali Malhotra,Pediatric Dentist,4.7,Siliguri,16:45 - 18:45,"Tuesday, Thursday"
Dr. Abhishek Kumar,Laryngologist,3.8,Jhansi,09:45 - 12:15,"Friday, Tuesday"
Dr. Priya Khanna,Pediatric Dentist,3.2,Durg-Bhilai Nagar,10:15 - 12:45,"Thursday, Friday"
Dr. Surya Gupta,Hand Surgeon,3.2,Tirupur,10:30 - 13:00,"Wednesday, Friday"
Dr. Ritu Patel,Laryngologist,3.2,Guntur,10:45 - 13:45,"Monday,Tuesday"
Dr. Aniket Singh,OB-GYN,3.1,Gorakhpur,11:15 - 14:15,"Tuesday, Wednesday"
Dr. Neha Kapoor,Refractive Surgeon,4.2,Saharanpur,11:45 - 14:15,"Wednesday, Thursday"
Dr. Rohan Sharma,Plastic Surgeon,3.6,Bhatpara,12:15 - 15:45,"Friday, Tuesday"
Dr. Tanvi Joshi,Spine Specialist,4.2,Bhilwara,12:45 - 15:15,"Thursday, Friday"
Dr. Aditya Verma,Hand & Microsurgery Specialist,3.6,Kakinada,13:15 - 16:45,"Tuesday, Thursday"
Dr. Pooja Khurana,Adult Psychiatric & Mental Health Nurse Practitioner,3.1,Davanagere,13:45 - 16:45,"Wednesday, Friday"
Dr. Ankit Gupta,Neurosurgeon,4.1,Varanasi,14:15 - 17:15,"Monday,Tuesday"
Dr. Shweta Singh,Urological Surgeon,4,Bhubaneswar,14:45 - 17:45,"Tuesday, Wednesday"
Dr. Abhinav Sharma,Psychotherapist,3.9,Jabalpur,15:15 - 17:45,"Monday,Tuesday"
Dr. Natasha Mehra,Midwife,3.5,Jodhpur,15:45 - 18:15,"Tuesday, Wednesday"
Dr. Yash Singh,Clinical Neurophysiologist,3.2,Mumbai,16:15 - 19:45,"Wednesday, Thursday"
Dr. Nisha Verma,Allergist,3.8,Delhi,19:30 - 21:30,"Friday, Tuesday"
Dr. Arvind Khanna,Neurosurgeon,4.1,Bangalore,20:00 - 22:30,"Monday,Tuesday"
Dr. Priyanka Singh,Shoulder & Elbow Surgeon,4.9,Kolkata,20:30 - 22:30,"Tuesday, Wednesday"
Dr. Rohit Choudhary,Hematologist,3.4,Chennai,21:00 - 23:00,"Monday, Thursday"
Dr. Kritika Khanna,Pediatric Orthopedic Surgeon,4.2,Hyderabad,21:30 - 23:00,"Tuesday, Thursday"
Dr. Mohit Sharma,OB-GYN,5,Pune,22:00 - 24:00,"Friday, Tuesday"
Dr. Anjali Bansal,Psychotherapist,4.2,Vadodara,22:30 - 24:00,"Thursday, Friday"
Dr. Ravi Verma,Pediatrician,4.1,Ghaziabad,23:00 - 24:00,"Tuesday, Thursday"
Dr. Ananya Khurana,Emergency Medicine Physician,4.5,Ludhiana,09:00 - 11:15,"Monday, Thursday"
Dr. Sameer Verma,Hand & Microsurgery Specialist,3,Agra,09:30 - 11:30,"Tuesday, Thursday"
Dr. Shivani Gupta,Hand Surgeon,4.8,Nashik,10:00 - 11:30,"Friday, Tuesday"
Dr. Akash Choudhary,Hematologist,4.5,Faridabad,10:15 - 11:45,"Thursday, Friday"
Dr. Anushka Mehra,Pediatric Otolaryngologist,3.3,Meerut,10:30 - 12:30,"Wednesday, Friday"
Dr. Rahul Kapoor,Emergency Medicine Physician,3.9,Mumbai,10:45 - 12:45,"Monday,Tuesday"
Dr. Sneha Sharma,Oncologist,3.8,Delhi,11:15 - 13:15,"Tuesday, Wednesday"
Dr. Rohan Khanna,Optometrist,3.2,Bangalore,16:30 - 18:30,"Wednesday, Thursday"
Dr. Tanvi Gupta,Pediatric Orthopedic Surgeon,3,Kolkata,17:00 - 19:30,"Friday, Tuesday"
Dr. Aman Singh,Neurosurgeon,3.3,Gopalpur,17:30 - 19:30,"Monday,Tuesday"
Dr. Neha Khurana,Psychotherapist,3.9,Agartala,18:00 - 20:30,"Tuesday, Wednesday"
Dr. Karan Mehra,Diagnostic Radiologist,4.2,Muzaffarnagar,18:30 - 20:30,"Tuesday, Wednesday"
Dr. Pooja Verma,Neurosurgeon,4.7,Latur,19:00 - 21:30,"Monday, Wednesday"
Dr. Vikram Sharma,Pediatrician,3.5,Hyderabad,19:30 - 21:30,"Tuesday, Thursday"
Dr. Riya Singh,Hematologist,3.3,Pune,20:00 - 22:30,"Tuesday, Thursday"
Dr. Aditya Khanna,OB-GYN,3.4,Ahmedabad,20:30 - 22:30,"Friday, Tuesday"
Dr. Nandini Verma,Spine Specialist,4.7,Jaipur,21:00 - 23:00,"Thursday, Friday"
Dr. Arjun Choudhary,Laryngologist,4.1,Surat,21:30 - 23:00,"Tuesday, Thursday"
Dr. Swati Khurana,Allergist,3.7,Lucknow,22:00 - 24:00,"Wednesday, Friday"
Dr. Ankit Mehra,Optometrist,4.3,Kanpur,22:30 - 24:00,"Monday,Tuesday"
Dr. Priya Verma,Pediatric Orthopedic Surgeon,3.7,Ahmedabad,09:00 - 10:30,"Tuesday, Wednesday"
Dr. Rohit Kumar,Hand Surgeon,3.2,Surat,09:15 - 10:45,"Monday,Tuesday"
Dr. Meera Khanna,Hand Surgeon,4,Jaipur,09:45 - 11:15,"Tuesday, Wednesday"
Dr. Sahil Verma,Hand Surgeon,3.7,Lucknow,10:15 - 11:45,"Wednesday, Thursday"
Dr. Sneha Singh,OB-GYN,4.8,Patna,10:30 - 12:00,"Friday, Tuesday"
Dr. Anuj Sharma,Pediatric Dentist,4.1,Vadodara,10:45 - 12:45,"Thursday, Friday"
Dr. Ritu Khanna,Pediatric Dentist,4.9,Ghaziabad,11:15 - 12:45,"Tuesday, Thursday"
Dr. Aarti Singh,Psychotherapist,3.5,Ludhiana,11:45 - 13:45,"Monday, Wednesday"
Dr. Vivek Khurana,Refractive Surgeon,4.7,Agra,12:15 - 13:45,"Tuesday, Thursday"
Dr. Kavita Sharma,Pediatric Dentist,4,Nashik,12:45 - 14:15,"Wednesday, Friday"
Dr. Arvind Khatri,Hand & Microsurgery Specialist,3.3,Faridabad,13:15 - 14:45,"Wednesday, Friday"
Dr. Priyanka Das,Hematologist,4.4,Meerut,13:45 - 15:15,"Monday,Tuesday"
Dr. Rohan Joshi,Neurosurgeon,4.4,Mumbai,14:15 - 15:45,"Tuesday, Wednesday"
Dr. Neha Bhatia,Refractive Surgeon,4.5,Ambala,14:45 - 16:15,"Wednesday, Thursday"
Dr. Karthik Menon,Psychotherapist,3,Maheshtala,15:15 - 16:45,"Monday, Thursday"
Dr. Ananya Iyer,Neurosurgeon,4.5,Rajpur Sonarpur,15:45 - 17:15,"Tuesday, Thursday"
Dr. Vikram Shah,Emergency Medicine Physician,3.8,Rajahmundry,16:15 - 17:45,"Friday, Tuesday"
Dr. Sneha Rao,Pediatrician,3.5,Bokaro Steel City,16:45 - 18:15,"Thursday, Friday"
Dr. Rahul Varma,Laryngologist,4.6,South Dumdum,17:15 - 18:45,"Tuesday, Thursday"
Dr. Nisha Krishnan,Clinical Neurophysiologist,4.2,Bellary,17:45 - 19:15,"Wednesday, Friday"
Dr. Aditya Dubey,Pediatric Otolaryngologist,4.3,Patiala,18:15 - 19:45,"Monday,Tuesday"
Dr. Shreya Sharma,Laryngologist,4.2,Gopalpur,18:45 - 20:15,"Tuesday, Wednesday"
Dr. Akash Pillai,Pediatrician,4.5,Bangalore,19:15 - 20:45,"Monday, Wednesday"
Dr. Pooja Singhania,OB-GYN,4.6,Visakhapatnam,19:45 - 21:15,"Tuesday, Thursday"
Dr. Rohit Verma,Hand Surgeon,4.3,Indore,20:15 - 21:45,"Monday, Thursday"
Dr. Anjali Nair,Oncologist,4.4,Thane,20:45 - 22:15,"Tuesday, Thursday"
Dr. Arjun Kapoor,Emergency Medicine Physician,3.6,Bhopal,21:15 - 22:45,"Friday, Tuesday"
Dr. Tanvi Mehta,Pediatric Orthopedic Surgeon,3.2,Ujjain,21:45 - 23:15,"Thursday, Friday"
Dr. Rajesh Rao,Neurosurgeon,3.4,Siliguri,22:15 - 23:45,"Wednesday, Friday"
Dr. Nandini Reddy,Laryngologist,3.4,Jhansi,22:45 - 24:00,"Monday,Tuesday"
Dr. Aman Mathur,Refractive Surgeon,3,Durg-Bhilai Nagar,09:00 - 10:45,"Tuesday, Wednesday"
Dr. Swati Sinha,Shoulder & Elbow Surgeon,4.7,Tirupur,09:30 - 11:00,"Wednesday, Thursday"
Dr. Vikrant Malhotra,Neurosurgeon,4.7,Guntur,10:00 - 11:30,"Friday, Tuesday"
Dr. Riya Mehra,Diagnostic Radiologist,3.1,Gorakhpur,10:15 - 11:45,"Thursday, Friday"
Dr. Ankit Desai,Pediatrician,3.9,Saharanpur,10:45 - 12:30,"Tuesday, Thursday"
Dr. Kritika Rao,Neurosurgeon,4.1,Bhatpara,11:00 - 12:45,"Wednesday, Friday"
Dr. Mohit Sharma,Laryngologist,4.3,Bhilwara,11:30 - 13:00,"Monday,Tuesday"
Dr. Anjali Patel,Hand Surgeon,3,Kakinada,12:00 - 13:45,"Tuesday, Wednesday"
Dr. Sameer Rastogi,Pediatric Otolaryngologist,3.4,Davanagere,12:30 - 14:00,"Monday, Wednesday"
Dr. Ritu Singh,Pediatric Orthopedic Surgeon,3.5,Kozhikode,13:00 - 14:45,"Tuesday, Thursday"
Dr. Abhishek Gupta,Emergency Medicine Physician,4,Maheshtala,13:30 - 15:00,"Tuesday, Wednesday"
Dr. Natasha Kapoor,Optometrist,4.2,Varanasi,14:00 - 15:45,"Wednesday, Thursday"
Dr. Rohan Chawla,Hand Surgeon,4.9,Bhubaneswar,14:30 - 16:00,"Friday, Tuesday"
Dr. Sneha Sharma,Pediatric Otolaryngologist,3.6,Jabalpur,15:00 - 16:45,"Thursday, Friday"
Dr. Arjun Verma,OB-GYN,4.5,Jodhpur,15:30 - 17:00,"Tuesday, Thursday"
Dr. Priya Mehra,Hand & Microsurgery Specialist,3.5,Mumbai,16:00 - 17:45,"Wednesday, Friday"
Dr. Vivek Sharma,Hand Surgeon,3,Delhi,16:30 - 18:00,"Monday,Tuesday"
Dr. Shweta Gupta,Neurosurgeon,3.7,Bangalore,17:00 - 18:45,"Tuesday, Wednesday"
Dr. Aditya Jain,Midwife,4.7,Kolkata,17:30 - 19:00,"Monday, Wednesday"
Dr. Neha Chopra,Pediatric Orthopedic Surgeon,5,Chennai,18:00 - 19:45,"Tuesday, Thursday"
Dr. Karan Thakur,Spine Specialist,3,Hyderabad,18:30 - 20:00,"Monday, Thursday"
Dr. Pooja Kapoor,Pediatric Otolaryngologist,3.2,Pune,19:00 - 20:45,"Tuesday, Thursday"
Dr. Vikas Singh,Hand Surgeon,3.7,Ahmedabad,19:30 - 21:00,"Monday, Friday"
Dr. Ananya Rao,Emergency Medicine Physician,4,Lucknow,20:00 - 21:45,"Monday, Wednesday"
Dr. Rohit Patel,Oncologist,4.4,Durg-Bhilai Nagar,20:30 - 22:00,"Tuesday, Thursday"
Dr. Tanvi Mehra,Allergist,5,Tirupur,21:00 - 22:45,"Wednesday, Friday"
Dr. Aryan Gupta,Pediatric Otolaryngologist,3,Guntur,21:30 - 23:00,"Monday,Tuesday"
Dr. Nisha Sharma,Pediatric Orthopedic Surgeon,3.8,Gorakhpur,22:00 - 23:45,"Friday, Tuesday"
Dr. Ankit Malhotra,Neurosurgeon,3.4,Saharanpur,22:30 - 24:00,"Thursday, Friday"
Dr. Priyanka Singh,Pediatric Dentist,3,Bhatpara,09:00 - 11:00,"Tuesday, Thursday"
Dr. Sahil Reddy,Pediatric Otolaryngologist,3.9,Bhilwara,09:15 - 11:15,"Wednesday, Friday"
Dr. Ritu Khanna,Diagnostic Radiologist,3.9,Kakinada,09:30 - 11:30,"Monday,Tuesday"
Dr. Akash Singh,Pediatric Orthopedic Surgeon,4.6,Davanagere,09:45 - 11:45,"Tuesday, Wednesday"
Dr. Meera Patel,Emergency Medicine Physician,3.3,Varanasi,10:00 - 12:00,"Monday,Tuesday"
Dr. Rahul Verma,OB-GYN,3.9,Bhubaneswar,10:15 - 12:15,"Tuesday, Wednesday"
Dr. Swati Sharma,Neurosurgeon,3.5,Jabalpur,10:30 - 12:30,"Wednesday, Thursday"
Dr. Arjun Khatri,Clinical Neurophysiologist,3.5,Jodhpur,10:45 - 12:45,"Friday, Tuesday"
Dr. Sneha Kapoor,OB-GYN,3.1,Mumbai,11:00 - 13:00,"Thursday, Friday"
Dr. Rohan Kumar,Pediatric Orthopedic Surgeon,5,Delhi,11:15 - 13:15,"Tuesday, Thursday"
Dr. Neha Desai,Hand Surgeon,4.1,Bangalore,11:30 - 13:30,"Monday, Wednesday"
Dr. Karthik Iyer,Refractive Surgeon,3.1,Kolkata,11:45 - 13:45,"Monday, Friday"
Dr. Preeti Sharma,Pediatric Dentist,4.1,Pune,12:00 - 14:00,"Monday, Wednesday"
Dr. Vikram Reddy,Hematologist,3.7,Ahmedabad,12:15 - 14:15,"Tuesday, Thursday"
Dr. Anjali Nair,Pediatrician,4.3,Jaipur,12:30 - 14:30,"Wednesday, Friday"
Dr. Aditya Bhatia,Oncologist,3.3,Chandigarh,12:45 - 14:45,"Monday,Tuesday"
Dr. Tanvi Patel,Pediatric Orthopedic Surgeon,3.9,Gurgaon,13:00 - 15:00,"Tuesday, Wednesday"
Dr. Rajesh Menon,Psychotherapist,4.3,Noida,13:15 - 15:15,"Tuesday, Thursday"
Dr. Nandini Rao,OB-GYN,4.2,Kochi,13:30 - 15:30,"Wednesday, Friday"
Dr. Aman Sharma,Hematologist,4.4,Lucknow,13:45 - 15:45,"Monday,Tuesday"
Dr. Shreya Sinha,Hand Surgeon,3.7,Indore,14:00 - 16:00,"Tuesday, Wednesday"
Dr. Abhishek Malhotra,Hand Surgeon,4.3,Bhopal,14:15 - 16:15,"Tuesday, Thursday"
Dr. Natasha Mehra,OB-GYN,3.1,Coimbatore,14:30 - 16:30,"Monday, Thursday"
Dr. Rohit Chauhan,Hand Surgeon,3.7,Thiruvananthapuram,14:45 - 16:45,"Tuesday, Thursday"
Dr. Ananya Gupta,Allergist,3.1,Nagpur,15:00 - 17:00,"Friday, Tuesday"
Dr. Priya Verma,Neurosurgeon,3.6,Vadodara,15:15 - 17:15,"Thursday, Friday"
Dr. Vivek Kapoor,OB-GYN,4.1,Agartala,15:30 - 17:30,"Wednesday, Friday"
Dr. Shweta Singh,Hand Surgeon,3.4,Aizawl,15:45 - 17:45,"Monday,Tuesday"
Dr. Akash Khatri,Pediatrician,3.7,Imphal,16:00 - 18:00,"Tuesday, Wednesday"
Dr. Ritu Kumar,Clinical Neurophysiologist,4.5,Shillong,16:15 - 18:15,"Wednesday, Thursday"
Dr. Arjun Sharma,Pediatrician,3.7,Kohima,16:30 - 18:30,"Friday, Tuesday"
Dr. Sneha Khanna,Urological Surgeon,3.4,Dimapur,16:45 - 18:45,"Monday,Tuesday"
Dr. Rohan Gupta,Laryngologist,3.3,Gangtok,17:00 - 19:00,"Wednesday, Friday"
Dr. Neha Mehra,OB-GYN,4.9,Itanagar,17:15 - 19:15,"Monday,Tuesday"
Dr. Karan Singhania,Clinical Neurophysiologist,3.9,Port Blair,17:30 - 19:30,"Monday,Tuesday"
Dr. Pooja Desai,Emergency Medicine Physician,4.3,Leh,17:45 - 19:45,"Tuesday, Wednesday"
Dr. Vikas Verma,Laryngologist,3.5,Tirupur,18:00 - 20:00,"Wednesday, Thursday"
Dr. Anjali Joshi,Oncologist,3.5,Guntur,09:00 - 10:30,"Friday, Tuesday"
Dr. Aditya Rao,Pediatric Otolaryngologist,3.3,Gorakhpur,09:45 - 11:15,"Monday,Tuesday"
Dr. Tanvi Mehra,Hematologist,3,Saharanpur,10:15 - 11:45,"Tuesday, Wednesday"
Dr. Rahul Kapoor,Neurosurgeon,3.6,Bhatpara,10:30 - 12:00,"Monday, Thursday"
Dr. Nisha Sinha,Urological Surgeon,3.6,Bhilwara,10:45 - 12:45,"Tuesday, Thursday"
Dr. Ankit Gupta,OB-GYN,4.6,Kakinada,11:15 - 12:45,"Friday, Tuesday"
Dr. Sahil Malhotra,Urological Surgeon,3,Davanagere,11:45 - 13:45,"Thursday, Friday"
Dr. Riya Khanna,Hematologist,3,Kozhikode,12:15 - 13:45,"Monday,Tuesday"
Dr. Arvind Sharma,Pediatric Dentist,4.4,Maheshtala,12:45 - 14:15,"Tuesday, Wednesday"
Dr. Swati Patel,Laryngologist,4.2,Varanasi,13:15 - 14:45,"Monday, Wednesday"
Dr. Akash Reddy,Hematologist,3.4,Bhubaneswar,13:45 - 15:15,"Tuesday, Thursday"
Dr. Meera Singh,Diagnostic Radiologist,4.9,Jabalpur,14:15 - 15:45,"Monday, Thursday"
Dr. Rohit Varma,Neurosurgeon,4.5,Jodhpur,14:45 - 16:15,"Tuesday, Thursday"
Dr. Neha Khatri,Pediatric Dentist,3.2,Kanpur,15:15 - 16:45,"Monday, Friday"
Dr. Karthik Gupta,Urological Surgeon,4.5,Nagpur,15:45 - 17:15,"Monday, Wednesday"
Dr. Preeti Sharma,Hand Surgeon,4.5,Visakhapatnam,16:15 - 17:45,"Tuesday, Thursday"
Dr. Vikram Kapoor,OB-GYN,3.5,Indore,16:45 - 18:15,"Wednesday, Friday"
Dr. Siddharth Rao,Pediatrician,3.9,Nagpur,17:15 - 18:45,"Monday,Tuesday"
Dr. Kavita Sharma,Pediatric Otolaryngologist,4.1,Visakhapatnam,17:45 - 19:15,"Tuesday, Wednesday"
Dr. Arjun Menon,Laryngologist,3.7,Indore,18:15 - 19:45,"Tuesday, Wednesday"
Dr. Nandini Iyer,Spine Specialist,3.8,Thane,18:45 - 20:15,"Wednesday, Thursday"
Dr. KrittikaAggarwal,Psychotherapist,4.7,Bhopal,19:15 - 20:45,"Monday, Thursday"
Dr. Ramanuj Bansal,Hematologist,3.3,Ujjain,19:45 - 21:15,"Tuesday, Thursday"
Dr. AshishGopal,Pediatrician,3.4,Visakhapatnam,20:15 - 21:45,"Friday, Tuesday"
Dr. VikramWadhwa,Emergency Medicine Physician,4.7,Indore,20:45 - 22:15,"Thursday, Friday"
Dr. Atul Mohan Kochhar,Hematologist,4.5,Thane,21:15 - 22:45,"Tuesday, Thursday"
Dr. Lekshmi P. Kumar,Pediatrician,4.2,Bhopal,21:45 - 23:15,"Wednesday, Friday"
Dr. P.N. Pandey,Optometrist,3,Patna,22:15 - 23:45,"Monday,Tuesday"
Dr. Chandra Shekhar,Allergist,3.2,Vadodara,22:45 - 24:00,"Tuesday, Wednesday"
Dr. Amit Kr. Sharma,Pediatric Otolaryngologist,3.1,Ghaziabad,09:00 - 10:45,"Monday, Wednesday"
Dr. Ankit SanjayKr. Shan,Hand Surgeon,3.7,Ludhiana,09:30 - 11:00,"Tuesday, Thursday"
Dr. Viresh Kumar,Hand Surgeon,3.7,Agra,10:00 - 11:30,"Monday, Thursday"
Dr. Manju Chugh,Refractive Surgeon,3.9,Nashik,10:15 - 11:45,"Tuesday, Thursday"
Dr. Shujauddin,Pediatric Otolaryngologist,4.8,Ahmedabad,10:45 - 12:30,"Friday, Tuesday"
Dr. Vivek Sachan,Emergency Medicine Physician,3.3,Jaipur,11:00 - 12:45,"Thursday, Friday"
Dr. Aisha Khan,Hand Surgeon,3.9,Chandigarh,11:30 - 13:00,"Wednesday, Friday"
Dr. Rajiv Patel,Clinical Neurophysiologist,4.6,Gurgaon,12:00 - 13:45,"Monday,Tuesday"
Dr. Priyanka Banerjee,Neurosurgeon,4.2,Noida,12:30 - 14:00,"Tuesday, Wednesday"
Dr. Siddharth Gupta,Urological Surgeon,3,Kochi,13:00 - 14:45,"Wednesday, Thursday"
